Sample index	Sample ID 1	Title	Result	Unit of Result	Data markings of Result	Creation time	Method name	T1+	Nominal value	T1-	Is excluded	Method type	Determination type	Overall result state	Comment	FISH_ID	TANK	MUSCLE_TYPE	TEMPERATURE		
1	1	Absorbance wavelength 1	0.14076	A		23/08/2023 13:54:39 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.18122	A		23/08/2023 13:54:46 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.14832	A		23/08/2023 13:54:53 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06638	A		23/08/2023 13:55:00 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00301	A		23/08/2023 13:55:07 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.01054	A		23/08/2023 13:55:14 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.13928	A		23/08/2023 13:55:21 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.13121	A		23/08/2023 13:55:26 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.16617	A		23/08/2023 13:55:33 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06797	A		23/08/2023 13:55:40 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00282	A		23/08/2023 13:55:47 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00797	A		23/08/2023 13:55:54 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.15289	A		23/08/2023 13:56:00 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.09961	A		23/08/2023 13:56:07 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.14215	A		23/08/2023 13:56:14 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06995	A		23/08/2023 13:56:21 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00193	A		23/08/2023 13:56:27 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00813	A		23/08/2023 13:56:34 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.11145	A		23/08/2023 13:56:41 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.13044	A		23/08/2023 13:56:48 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.17597	A		23/08/2023 13:56:55 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.06876	A		23/08/2023 13:57:02 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.0044	A		23/08/2023 13:57:09 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00693	A		23/08/2023 13:57:16 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.13439	A		23/08/2023 13:57:24 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.14545	A		23/08/2023 13:57:29 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.16564	A		23/08/2023 13:57:36 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07168	A		23/08/2023 13:57:43 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00146	A		23/08/2023 13:57:49 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00703	A		23/08/2023 13:57:56 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.16135	A		23/08/2023 13:58:03 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.13998	A		23/08/2023 13:58:10 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.14694	A		23/08/2023 13:58:17 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07039	A		23/08/2023 13:58:24 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00075	A		23/08/2023 13:58:31 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00693	A		23/08/2023 13:58:38 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.19993	A		23/08/2023 13:58:45 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.13641	A		23/08/2023 13:58:50 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.19464	A		23/08/2023 13:58:57 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07254	A		23/08/2023 13:59:04 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00099	A		23/08/2023 13:59:11 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00596	A		23/08/2023 13:59:18 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.17081	A		23/08/2023 13:59:26 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.17737	A		23/08/2023 13:59:33 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.17937	A		23/08/2023 13:59:40 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07324	A		23/08/2023 13:59:46 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00167	A		23/08/2023 13:59:53 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.0075	A		23/08/2023 14:00:00 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.20572	A		23/08/2023 14:00:07 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.19521	A		23/08/2023 14:00:14 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.24929	A		23/08/2023 14:00:21 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07232	A		23/08/2023 14:00:28 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	-0.00077	A		23/08/2023 14:00:35 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00793	A		23/08/2023 14:00:42 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.15972	A		23/08/2023 14:00:49 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.1997	A		23/08/2023 14:00:56 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.2583	A		23/08/2023 14:01:01 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07174	A		23/08/2023 14:01:07 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
5	5	Absorbance wavelength 1	0.00174	A		23/08/2023 14:01:15 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
6	6	Absorbance wavelength 1	-0.00756	A		23/08/2023 14:01:20 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
1	1	Absorbance wavelength 1	0.20722	A		23/08/2023 14:01:28 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
2	2	Absorbance wavelength 1	0.17138	A		23/08/2023 14:01:33 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
3	3	Absorbance wavelength 1	0.20354	A		23/08/2023 14:01:40 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
4	4	Absorbance wavelength 1	0.07024	A		23/08/2023 14:01:47 	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	White muscle	20		
