Sample index	Sample ID 1	Title	Result	Unit of Result	Data markings of Result	Creation time	Method name	T1+	Nominal value	T1-	Is excluded	Method type	Determination type	Overall result state	Comment	FISH_ID	TANK	MUSCLE_TYPE	TEMPERATURE
1	1	Absorbance wavelength 1	1.10994	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.07849	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.05669	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.09596	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.00564	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.03983	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.10096	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.07911	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.05255	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10145	A		16/09/2022 13:19	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.00457	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04162	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.08524	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.06291	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.04971	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.09707	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.00534	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04042	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.07492	A		16/09/2022 13:20	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.0513	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.03151	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.09968	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.0004	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04423	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.07549	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.05557	A		16/09/2022 13:21	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.01935	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10126	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.0016	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04324	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.05807	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.04388	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.0174	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10324	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.00028	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04491	A		16/09/2022 13:22	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.04831	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.03118	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	1.00782	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10542	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	0.00023	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04654	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.04403	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.01676	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.99795	A		16/09/2022 13:23	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10484	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00189	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04697	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.0362	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.0085	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.99474	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10582	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00167	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04557	A		16/09/2022 13:24	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.02572	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	1.00176	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.97075	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.1082	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00149	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04763	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.01749	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.99196	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.97228	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10787	A		16/09/2022 13:25	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00167	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
6	6	Absorbance wavelength 1	-0.04996	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
1	1	Absorbance wavelength 1	1.01075	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
2	2	Absorbance wavelength 1	0.98481	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
3	3	Absorbance wavelength 1	0.95777	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
4	4	Absorbance wavelength 1	1.10352	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
5	5	Absorbance wavelength 1	-0.00501	A		16/09/2022 13:26	UV5 Continuous for 8 Samples in Cuvette Changer				FALSE	Fixed Wavelength	General	OK		LCKM163	1	white muscle	20
