FISH_ID	TANK	REGION	POPULATION 	MASS	STANDARD_LENGTH	PLATE	WELL_ROW	WELL_COLUMN	TIME	ABSORBANCE
LCKM163	1	Leading	Cockermouth Island	18.44	72.96	1	C	1	0.h	1.4912
LCKM163	1	Leading	Cockermouth Island	18.44	72.96	1	C	2	0.h	1.5456
LCKM163	1	Leading	Cockermouth Island	18.44	72.96	1	C	3	0.h	1.5648
CSUD010	3	Core	Sudbury Reef 	24.98	80.52	1	D	1	0.h	1.4323
CSUD010	3	Core	Sudbury Reef 	24.98	80.52	1	D	2	0.h	1.3938
CSUD010	3	Core	Sudbury Reef 	24.98	80.52	1	D	3	0.h	1.5209
CSUD014	4	Core	Sudbury Reef 	38.29	95.22	1	E	1	0.h	1.4619
CSUD014	4	Core	Sudbury Reef 	38.29	95.22	1	E	2	0.h	1.5058
CSUD014	4	Core	Sudbury Reef 	38.29	95.22	1	E	3	0.h	1.5558
CTONO60	6	Core	Tongue Reef	40.11	94.88	1	F	1	0.h	1.4524
CTONO60	6	Core	Tongue Reef	40.11	94.88	1	F	2	0.h	1.428
CTONO60	6	Core	Tongue Reef	40.11	94.88	1	F	3	0.h	1.5068
CSUD085	7	Core	Sudbury Reef 	26.03	86.46	1	G	1	0.h	1.4171
CSUD085	7	Core	Sudbury Reef 	26.03	86.46	1	G	2	0.h	1.5159
CSUD085	7	Core	Sudbury Reef 	26.03	86.46	1	G	3	0.h	1.5119
CSUD074	8	Core	Sudbury Reef 	36.76	92.28	1	H	1	0.h	1.5055
CSUD074	8	Core	Sudbury Reef 	36.76	92.28	1	H	2	0.h	1.5654
CSUD074	8	Core	Sudbury Reef 	36.76	92.28	1	H	3	0.h	1.4407
CTON069	10	Core	Tongue Reef	29.06	86.96	1	A	4	0.h	1.449
CTON069	10	Core	Tongue Reef	29.06	86.96	1	A	5	0.h	1.4242
CTON069	10	Core	Tongue Reef	29.06	86.96	1	A	6	0.h	1.4751
LCKM154	11	Leading	Cockermouth Island	23.03	79.00	1	B	4	0.h	1.4371
LCKM154	11	Leading	Cockermouth Island	23.03	79.00	1	B	5	0.h	1.4987
LCKM154	11	Leading	Cockermouth Island	23.03	79.00	1	B	6	0.h	1.4255
LCKM166	13	Leading	Cockermouth Island	20.56	74.84	0	C	5	0.h	1.3807
LCKM166	13	Leading	Cockermouth Island	20.56	74.84	0	C	6	0.h	1.4644
LCHA136	15	Leading	Chauvel Reef 	25.61	80.90	1	C	4	0.h	1.4954
LCHA136	15	Leading	Chauvel Reef 	25.61	80.90	1	C	5	0.h	1.5535
LCHA136	15	Leading	Chauvel Reef 	25.61	80.90	1	C	6	0.h	1.4566
CTON061	16	Core	Tongue Reef	18.16	76.32	1	D	4	0.h	1.4822
CTON061	16	Core	Tongue Reef	18.16	76.32	1	D	5	0.h	1.4781
CTON061	16	Core	Tongue Reef	18.16	76.32	1	D	6	0.h	1.5008
CTON068	20	Core	Tongue Reef	31.03	89.20	1	E	4	0.h	1.4693
CTON068	20	Core	Tongue Reef	31.03	89.20	1	E	5	0.h	1.4591
CTON068	20	Core	Tongue Reef	31.03	89.20	1	E	6	0.h	1.5024
LCKM174	23	Leading	Cockermouth Island	23.05	82.10	1	F	4	0.h	1.5478
LCKM174	23	Leading	Cockermouth Island	23.05	82.10	1	F	5	0.h	1.5704
LCKM174	23	Leading	Cockermouth Island	23.05	82.10	1	F	6	0.h	1.4679
LCHA119	24	Leading	Chauvel Reef 	19.99	72.74	0		9	0.h	1.464
LCHA119	24	Leading	Chauvel Reef 	19.99	72.74	0		10	0.h	1.4734
LCHA119	24	Leading	Chauvel Reef 	19.99	72.74	0		11	0.h	1.4817
LKES143	25	Leading	Keswick Island 	29.16	90.02	1	G	7	0.h	1.4245
LKES143	25	Leading	Keswick Island 	29.16	90.02	1	G	8	0.h	1.4448
LKES143	25	Leading	Keswick Island 	29.16	90.02	1	G	9	0.h	1.5226
CTON110	28	Core	Tongue Reef	39.01	95.02	1	H	7	0.h	1.381
CTON110	28	Core	Tongue Reef	39.01	95.02	1	H	8	0.h	1.4624
CTON110	28	Core	Tongue Reef	39.01	95.02	1	H	9	0.h	1.4512
LKES145	33	Leading	Keswick Island 	30.36	85.00	1	A	7	0.h	1.5123
LKES145	33	Leading	Keswick Island 	30.36	85.00	1	A	8	0.h	1.6717
LKES145	33	Leading	Keswick Island 	30.36	85.00	1	A	9	0.h	1.3928
CVLA045	34	Core	Vlassof Cay	36.86	90.20	1	B	7	0.h	1.4861
CVLA045	34	Core	Vlassof Cay	36.86	90.20	1	B	8	0.h	1.5369
CVLA045	34	Core	Vlassof Cay	36.86	90.20	1	B	9	0.h	1.4577
CSUD006	35	Core	Sudbury Reef 	27.98	84.50	1	C	7	0.h	1.4946
CSUD006	35	Core	Sudbury Reef 	27.98	84.50	1	C	8	0.h	1.5451
CSUD006	35	Core	Sudbury Reef 	27.98	84.50	1	C	9	0.h	1.499
CSUD008	36	Core	Sudbury Reef 	36.91	95.14	1	D	7	0.h	1.4787
CSUD008	36	Core	Sudbury Reef 	36.91	95.14	1	D	8	0.h	1.4331
CSUD008	36	Core	Sudbury Reef 	36.91	95.14	1	D	9	0.h	1.4822
LKES172	37	Leading	Keswick Island 	13.50	67.96	1	E	7	0.h	1.4456
LKES172	37	Leading	Keswick Island 	13.50	67.96	1	E	8	0.h	1.5092
LKES172	37	Leading	Keswick Island 	13.50	67.96	1	E	9	0.h	2.3502
LCKM158	38	Leading	Cockermouth Island	23.67	80.84	1	F	7	0.h	1.4872
LCKM158	38	Leading	Cockermouth Island	23.67	80.84	1	F	8	0.h	1.4087
LCKM158	38	Leading	Cockermouth Island	23.67	80.84	1	F	9	0.h	1.9238
CVLA047	43	Core	Vlassof Cay	25.66	82.42	1	G	7	0.h	1.4813
CVLA047	43	Core	Vlassof Cay	25.66	82.42	1	G	8	0.h	1.4463
CVLA047	43	Core	Vlassof Cay	25.66	82.42	1	G	9	0.h	1.6751
CVLA104	44	Core	Vlassof Cay	38.51	95.50	1	H	7	0.h	1.5104
CVLA104	44	Core	Vlassof Cay	38.51	95.50	1	H	8	0.h	1.4737
CVLA104	44	Core	Vlassof Cay	38.51	95.50	1	H	9	0.h	2.69
LCKM180	45	Leading	Cockermouth Island	20.31	77.38	1	A	10	0.h	1.4155
LCKM180	45	Leading	Cockermouth Island	20.31	77.38	1	A	11	0.h	1.5466
LCKM180	45	Leading	Cockermouth Island	20.31	77.38	1	A	12	0.h	1.789
