FISHID	TANK	REGION	POPULATION 	HEMATOCRIT_TOTAL	RBC	PERC_RBC	MASS	LENGTH	HEMOGLOBIN_SAMPLE1	HEMOGLOBIN_SAMPLE2	HEMOGLOBIN_SAMPLE3	HEMOGLOBIN_AVERAGE	HEMOGLOBIN_CONTROL	HEMOGLOBIN
LCKM163	1	Leading	Cockermouth Island	64	21	0.328125	18.44	72.96	0.1014	0.4881	0.1241	0.237866667	0.034566667	0.2033
CSUD010	3	Core	Sudbury Reef 	56	18	0.321428571	24.98	80.52	1.9471	1.512	1.6493	1.7028	0.034566667	1.668233333
CSUD014	4	Core	Sudbury Reef 	55	13	0.236363636	38.29	95.22	0.3427	0.2652	0.9457	0.517866667	0.034566667	0.4833
CTONO60	6	Core	Tongue Reef	66	17	0.257575758	40.11	94.88	1.2948	0.7583	0.5337	0.862266667	0.034566667	0.8277
CSUD085	7	Core	Sudbury Reef 	51	7.5	0.147058824	26.03	86.46		1.4673	1.2403	1.3538	0.034566667	1.319233333
CSUD074	8	Core	Sudbury Reef 	68	16	0.235294118	36.76	92.28	0.309	0.5388	0.852	0.5666	0.034566667	0.532033333
CTON069	10	Core	Tongue Reef	58.5	9	0.153846154	29.06	86.96	0.3383	0.3901	0.2702	0.332866667	0.034566667	0.2983
LCKM154	11	Leading	Cockermouth Island	50	9	0.18	23.03	79.00	1.8218	0.2426	0.777	0.947133333	0.034566667	0.912566667
LCKM166	13	Leading	Cockermouth Island	30.5	6	0.196721311	20.56	74.84	0.5172	0.9539	1.0491	0.840066667	0.034566667	0.8055
LCHA136	15	Leading	Chauvel Reef 	59	12	0.203389831	25.61	80.90	1.0208	0.7631	0.4339	0.739266667	0.034566667	0.7047
CTON061	16	Core	Tongue Reef	56	10	0.178571429	18.16	76.32	0.688	1.1658	0.6812	0.845	0.034566667	0.810433333
CTON068	20	Core	Tongue Reef	57	8	0.140350877	31.03	89.20	0.5229	0.495	0.3122	0.443366667	0.034566667	0.4088
LCKM174	23	Leading	Cockermouth Island	60.5	17	0.280991736	23.05	82.10	0.1456	0.2249		0.18525	0.034566667	0.150683333
LCHA119	24	Leading	Chauvel Reef 	26	6.25	0.240384615	19.99	72.74	0.6658	0.7096		0.6877	0.034566667	0.653133333
LKES143	25	Leading	Keswick Island 	52.5	12.5	0.238095238	29.16	90.02	0.652	1.2246	0.9292	0.935266667	0.034566667	0.9007
CTON110	28	Core	Tongue Reef	66	9	0.136363636	39.01	95.02	1.465	0.821	0.7447	1.010233333	0.034566667	0.975666667
CVLA054	29	Core	Vlassof Cay	NA	NA	NA	NA	NA	NA	NA	NA	#DIV/0!	0.034566667	
CVLA097	30	Core	Vlassof Cay	NA	NA	NA	NA	NA	NA	NA	NA	#DIV/0!	0.034566667	
LKES145	33	Leading	Keswick Island 	67.5	23	0.340740741	30.36	85.00	0.8724	0.5428	0.3652	0.593466667	0.034566667	0.5589
CVLA045	34	Core	Vlassof Cay	62	20	0.322580645	36.86	90.20	0.7064	0.7353	0.7788	0.740166667	0.034566667	0.7056
CSUD006	35	Core	Sudbury Reef 	58	16	0.275862069	27.98	84.50	1.7095	1.7223	0.9915	1.474433333	0.034566667	1.439866667
CSUD008	36	Core	Sudbury Reef 	50	10	0.2	36.91	95.14	0.4089	0.723	0.6938	0.608566667	0.034566667	0.574
LKES172	37	Leading	Keswick Island 	40	8	0.2	13.50	67.96	0.2881	0.2375	0.3096	0.2784	0.034566667	0.243833333
