FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	DRY_WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING_ENDTIME	RESTING_RUNTIME	RESTING	RESTING_MgO2/hr	RESTING_RESPR	RESTING_MgO2/hr_RESPR	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	MAX_RESPR	MAX_MgO2/hr_RESPR	FAS	NAS	MgO2/hr_Net	steepest_slope	Swim performance	Notes
CSUD004_27	Sudbury Reef	Core	27	0.02884	0.02486	25/06/2022	3	dell	1	AM	10:56:00	15:03:25	4:07:25	162.479	4.68589436	186.88	4.65	29/06/2022	2	asus	2	AM	10:55	355.5485	8.83893571	403.1894	10.02329	2.155546237	216.3094	5.37329	1	good	
CSUD004_28.5	Sudbury Reef	Core	28.5	0.02884	0.02486	17/07/2022	4	dell	1	PM	17:39:00	21:15:42	3:36:42	202.358	5.83600472	234.96	5.84	17/07/2022	4	dell	1	PM	17:39	363.86	9.0455596	474.7205	11.80155	2.020813356	239.7605	5.96155	1	poor	didn't settle - short burst swimming
CSUD006_27	Sudbury Reef	Core	27	0.03792	0.02798	14/06/2022	3	asus	2	AM	10:47:00	14:04:01	3:17:01	128.5007	4.872746544	195.16	5.46	28/06/2022	4	dell	1	PM	16:13	307.1126926	8.593013138	534.9017	14.96655	2.741126374	339.7417	9.50655	1	good  	
CSUD006_28.5	Sudbury Reef	Core	28.5	0.03792	0.02798	15/07/2022	4	dell	1	PM	16:18:00	20:16:39	3:58:39	209.4575	7.9426284	272.44	7.62	15/07/2022	4	dell	1	PM	16:18	450.864	12.61517472	640.6543	17.92551	2.352429134	368.2143	10.30551	1	poor	
CSUD006_30	Sudbury Reef	Core	30	0.03792	0.02798	2/08/2022	2	dell	1	AM	9:31:00	15:16:36	5:45:36	184.552	6.99821184	248.28	6.95	2/08/2022	2	dell	1	AM	9:31	404.311	11.31262178	682.635081	19.15226715	2.755721892	434.355081	12.20226715	1	poor	second slope used
CSUD006_31.5	Sudbury Reef	Core	31.5	0.03792	0.02798	17/08/2022	2	dell	1	AM	10:32:31	15:26:20	4:53:49	200.082	7.58710944	273.6	7.66	17/08/2022	2	dell	1	AM	10:32:31	433.88	12.1399624	740.1376	20.70905	2.703531332	466.5376	13.04905	1	okay	
CSUD008_27	Sudbury Reef	Core	27	0.051	0.03691	25/06/2022	1	asus	2	PM	15:05:00	18:20:42	3:15:42	191.4713	9.7650363	238.92	8.82	28/06/2022	4	asus	2	PM	16:35	357.5447012	13.19697492	531.3256	19.61123	2.223495465	292.4056	10.79123	1	poor	
CSUD008_28.5	Sudbury Reef	Core	28.5	0.051	0.03691	16/07/2022	3	asus	2	PM	17:09:00	20:59:05	3:50:05	185.262	9.448362	242.52	8.95	16/07/2022	3	asus	2	PM	17:09	339.745	12.53998795	542.3919	20.01968	2.236835754	299.8719	11.06968	1	poor	
CSUD008_30	Sudbury Reef	Core	30	0.051	0.03691	2/08/2022	4	asus	2	AM	10:46:00	15:15:14	4:29:14	178.773	9.117423	240.64	8.88	2/08/2022	4	asus	2	AM	10:46	341.198	12.59361818	484.718837	17.93981825	2.020249803	244.078837	9.05981825	1	poor	
CSUD008_31.5	Sudbury Reef	Core	31.5	0.051	0.03691	17/08/2022	3	asus	2	AM	11:32:03	15:30:15	3:58:12	203.997	10.403847	272.69	10.07	17/08/2022	3	asus	2	AM	11:32:03	395.889	14.61226299	844.2647	31.1681	3.095143992	571.5747	21.0981	1	good	had to use slope from AquaResp; cycle_1 data file was missing; NO DATA FILE
CSUD010_27	Sudbury Reef	Core	27	0.03224	0.02498	25/06/2022	1	asus	2	AM	10:17:00	14:04:44	3:47:44	138.317	4.45934008	201.85	5.04	27/06/2022	4	dell	1	PM	15:56	356.438969	8.903845445	571.6689	14.28029	2.833390873	369.8189	9.24029	3	good	"Max was correct for weight, fish was mixec up with LCKM165 when max resp was measured. Fish now in tank 58 instead of tank 3. "
CSUD010_28.5	Sudbury Reef	Core	28.5	0.03224	0.02498	17/07/2022	3	dell	1	PM	17:12:00	21:15:42	4:03:42	135.879	4.38073896	173.18	4.33	17/07/2022	3	dell	1	PM	17:12	380.745	9.5110101	537.1633	13.41834	3.098923788	363.9833	9.08834	1	good	max taken from second steepest slope
CSUD010_30	Sudbury Reef	Core	30	0.03224	0.02498	2/08/2022	3	dell	1	AM	10:00:00	15:16:36	5:16:36	123.643	3.98625032	159.8	3.99	2/08/2022	3	dell	1	AM	10:00	440.573	11.00551354	642.6237094	16.0965632	4.034226366	482.8237094	12.1065632	1	good	
CSUD010_31.5	Sudbury Reef	Core	31.5	0.03224	0.02498	17/08/2022	1	asus	2	PM	16:59:40	21:04:32	4:04:52	172.68	5.5672032	209.26	5.23	17/08/2022	1	asus	2	PM	16:59:40	510.006	12.73994988	553.3941	17.84142	3.411361377	344.1341	12.61142	1	good	
CSUD014_27	Sudbury Reef	Core	27	0.0488	0.03829	14/06/2022	4	dell	1	PM	14:52:47	18:41:57	3:49:10	94.1868	4.59631584	100.91	3.86	26/06/2022	3	asus	2	PM	16:32	231.2685	8.855270865	352.7796	13.50793	3.499463731	251.8696	9.64793	1	poor 	
CSUD014_28.5 	Sudbury Reef	Core	28.5	0.0488	0.03829	18/07/2022	2	asus	2	AM	10:30:00	14:50:18	4:20:18	150.578	7.3482064	185.47	7.1	18/07/2022	2	asus	2	AM	10:30	368.329	14.10331741	451.8176	17.3001	2.436633803	266.3476	10.2001	2	good	
CSUD014_30	Sudbury Reef	Core	30	0.0488	0.03829	31/07/2022	1	dell	1	PM	15:47:00	21:41:30	5:54:30	123.836	6.0431968	160.97	6.16	31/07/2022	1	dell	1	PM	15:47	349.58	13.3854182	465.1608268	17.8596269	2.899290081	304.1908268	11.6996269	1	good	
CSUD014_31.5	Sudbury Reef	Core	31.5	0.0488	0.03829	15/08/2022	1	dell	1	AM	11:30:33	17:03:44	5:33:11	144.155	7.034764	193.1	7.39	15/08/2022	1	dell	1	AM	11:30:33	417.407	15.98251403	578.3178	22.14379	2.996453315	385.2178	14.75379	1	good	
CSUD018_27	Sudbury Reef	Core	27	0.0306	0.02479	14/06/2022	2	asus	2	PM	15:24:00	19:44:25	4:20:25	118.91	3.638646	171.33	4.25	27/06/2022	1	asus	2	AM	12:04	279.0729	6.918217191	367.4694	9.109566	2.143427294	196.1394	4.859566	1	good	
CSUD018_28.7	Sudbury Reef	Core	28.5	0.0306	0.02479	18/07/2022	3	dell	1	PM	16:15:00	20:07:14	3:52:14	117.964	3.6096984	143.43	3.56	18/07/2022	3	dell	1	PM	16:15	393.961	9.76629319	524.6155	13.00522	3.653151685	381.1855	9.44522	1	good	
CSUD018_30	Sudbury Reef	Core	30	0.0306	0.02479	31/07/2022	3	dell	1	PM	17:02:05	21:41:30	4:39:25	128.638	3.9363228	151.76	3.75	2/08/2022	3	dell	1	PM	15:54	445.94	11.0548526	844.8257533	21.00040225	5.600107267	693.0657533	17.25040225	1	good	
