FISH_ID	POPULATION	REGION	TANK	MASS	PHA_27	PHA_285	PHA_30	PHA_31.5	AverageResponse	BKA1	BKA2
CSUD085	Sudbury Reef 	Core	7	0.03672	0.42	0.42	-0.02	0.03	0.21	-0.045428571	-0.045428571
CSUD026	Sudbury Reef 	Core	60	0.03081	0.10	0.07	0.40	-0.01	0.14	-0.000428571	-0.000428571
CSUD018	Sudbury Reef 	Core	49	0.0306	0.02	0.41	0.58	0.10	0.28	0.362761905	0.032928571
CSUD006	Sudbury Reef 	Core	35	0.03792	0.16	-0.11	-0.13	0.03	-0.01	0.365690476	0.063857143
CSUD008	Sudbury Reef 	Core	36	0.051	0.23	0.11	0.07	-0.04	0.09	0.066738095	0.066738095
CSUD074	Sudbury Reef 	Core	8	0.0471	0.21	1.01	0.09		0.44	0.410547619	0.129071429
CSUD014	Sudbury Reef 	Core	4	0.0488	0.22	0.24	0.06	0.03	0.14	0.64702381	0.89875
CSUD088	Sudbury Reef 	Core	53	0.0284	0.08	NA			0.08	0.66997619	0.952642857
CSUD010	Sudbury Reef 	Core	3	0.03224	0.03	0.61	0.03	0.05	0.18	1.013119048	1.013119048
CSUD079	Sudbury Reef 	Core	61	0.0454	0.65	0.39	0.04	0.27	0.34	1.038119048	1.038119048
CSUD004	Sudbury Reef 	Core	12	0.02884	0.03	0.07			0.05		
CTON069	Tongue Reef	Core	10	0.03792	0.33	0.23	0.05	0.12	0.18	0.048285714	0.048285714
CTON060	Tongue Reef	Core	6	0.04907	0.36	0.41	0.14	0.06	0.24	0.390857143	0.07175
CTON061	Tongue Reef	Core	16	0.02477	-0.02	0.31	-0.04	0.06	0.08	0.073952381	0.073952381
CTON068	Tongue Reef	Core	20	0.04077	0.44	0.23	0.38		0.35	0.5645	0.5645
CTON065	Tongue Reef	Core	62	0.05278	0.41	0.35	0.01	0.09	0.21	0.636642857	0.636642857
CTON110	Tongue Reef	Core	28	0.0469	0.52	0.59	0.51	0.08	0.42	1.040761905	1.040761905
CTON062	Tongue Reef	Core	32	0.046	0.88	0.09	0.29		0.42		
CTON067	Tongue Reef	Core	59	0.03618	0.36	0.87	-0.02		0.40		
CVLA104	Vlassof Cay	Core	44	0.04705	0.20	0.43	0.26	0.06	0.24	0.189380952	-0.00875
CVLA047	Vlassof Cay	Core	43	0.0318	0.72	0.62	-0.02		0.44	0.593619048	0.399892857
CVLA053	Vlassof Cay	Core	46	0.04733	0.45	0.49	-0.09	0.33	0.29	0.72097619	0.947785714
CVLA046	Vlassof Cay	Core	52	0.02875	0.30	0.08	0.00	-0.01	0.09	0.657285714	0.994464286
CVLA045	Vlassof Cay	Core	34	0.04482	0.20	0.42	0.07	0.18	0.22	0.722119048	1.0535
CVLA052	Vlassof Cay	Core	18	0.03301	0.42	0.17			0.30		
CVLA105	Vlassof Cay	Core	21	0.03654	0.16	0.34			0.25		
CVLA054	Vlassof Cay	Core	29	0.03988	0.46	0.18	0.01		0.22		
CVLA097	Vlassof Cay	Core	30	0.05225	0.32	0.84	0.43	-0.25	0.33		
CVLA057	Vlassof Cay	Core	55	0.04228	0.24	-0.09	0.30	0.18	0.16		
LCHA136	Chauvel Reef	Leading	15	0.02922	-0.03	0.38	0.24	-0.01	0.15	0.030595238	0.030595238
LCHA114	Chauvel Reef	Leading	57	0.03905	0.34	0.56	0.02	0.12	0.26	0.201	0.201
LCHA135	Chauvel Reef	Leading	48	0.03524	0.21	0.22	0.01	0.13	0.14	0.6175	0.439642857
LCHA124	Chauvel Reef	Leading	5	0.03684	0.17	NA			0.17		
LCHA125	Chauvel Reef	Leading	14	0.03203	0.18	-0.53	-0.03	0.18	-0.05		
LCHA119	Chauvel Reef	Leading	24	0.02561	0.23	0.02	0.12	0.07	0.11		
LCHA113	Chauvel Reef	Leading	50	0.02445	0.06	0.21			0.14		
LCHA138	Chauvel Reef	Leading	54	0.02072	0.09	0.13	0.45	0.03	0.17		
LCKM176	Cockermouth Island 	Leading	51	0.01345	0.16	0.33	0.03	-0.01	0.13	-0.034619048	-0.034619048
LCKM163	Cockermouth Island 	Leading	1	0.02371	0.36	0.18	0.37	0.08	0.25	0.268095238	0.023
LCKM174	Cockermouth Island 	Leading	23	0.0288	0.13	0.18	0.39	0.11	0.20	0.060595238	0.060595238
LCKM158	Cockermouth Island 	Leading	38	0.03457	-0.09	0.07	0.01	0.08	0.02	0.209095238	0.209095238
LCKM180	Cockermouth Island 	Leading	45	0.02418	0.21	-0.42	0.03	0.03	-0.04	0.958357143	0.958357143
LCKM154	Cockermouth Island 	Leading	11	0.028	0.05	0.17	0.41	-0.03	0.15	1.022904762	1.022904762
LCKM165	Cockermouth Island 	Leading	58	0.0317	0.30	0.08	0.40	0.05	0.21	1.034285714	1.034285714
LCKM173	Cockermouth Island 	Leading	9	0.03008	0.47	NA			0.47		
LCKM166	Cockermouth Island 	Leading	13	0.02788	0.09	0.77	0.42	0.07	0.34		
LCKM162	Cockermouth Island 	Leading	22	0.03075	0.09	0.65	0.02		0.25		
LKES145	Keswick Island 	Leading	33	0.04235	0.13	0.54	0.11	0.08	0.22	0.389309524	0.056142857
LKES172	Keswick Island 	Leading	37	0.01829	0.09	1.33	0.14	0.23	0.45	0.71647619	0.71647619
LKES142	Keswick Island 	Leading	56	0.04016	0.01	0.90		0.06	0.32	0.989190476	0.989190476
LKES143	Keswick Island 	Leading	25	0.04005	0.56	0.38	0.49	0.02	0.36	1.008404762	1.008404762
LKES141	Keswick Island 	Leading	26	0.03561	0.24	0.55			0.40		
