fish_id	TISSUE_MASS
LCKM163	28.6
CSUD010	31.4
CSUD014	33.7
CTON060	38.4
CSUD085	38.2
CSUD074	34.1
CTON069	34.4
LCKM154	29.2
LCKM166	25.7
LCHA136	27.4
CTON061	20.8
CTON068	32.7
LCKM174	35.3
LCHA119	34.2
LKES143	36.2
CTON110	24.5
LKES145	27.8
CVLA045	30.3
CSUD006	29.7
CSUD008	32
LKES172	26.2
LCKM158	31.4
CVLA047	22.2
CVLA104	37.9
LCKM180	29.2
CVLA053	39.2
LCHA135	21.5
CSUD018	36.3
LCKM176	37.9
CVLA046	35.3
LCHA138	36.5
CVLA057	31.7
LKES142	31.6
LCHA114	37.9
LCKM165	27.7
CSUD076	37
CSUD079	
CTON065	
