FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING	RESTING_MgO2/hr	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	FAS	NAS	MgO2/hr_Net	Swim performance	Notes		
LCHA113_27	Chauvel Reef	Leading	27	0.02445	2022-06-15	4	dell	1	PM	NA	177.656	4.3436892	2022-06-27	4	dell	1	AM	12:37	267.2727	6.534817515	1.504439479	89.6167	2.191128315	good			
LCHA114_27	Chauvel Reef	Leading	27	0.03905	2022-06-25	2	asus	2	AM	10:25:00	121.421	4.74149005	2022-06-27	3	asus	2	PM	15:45	360.3448341	14.07146577	2.967730739	238.9238341	9.32997572	good			
LCHA119_27	Chauvel Reef	Leading	27	0.02561	2022-06-16	3	dell	1	AM	NA	174.789	4.47634629	2022-06-28	3	asus	2	AM	11:55	261.2212755	6.689876866	1.494494937	86.43227551	2.213530576	poor			
LCHA124_27	Chauvel Reef	Leading	27	0.03684	2022-06-15	4	asus	2	AM	NA	181.628	6.69117552	2022-07-01	2	dell	1	PM	13:26	254.591	9.37913244	1.401716696	72.963	2.68795692	good	"updated, original max. was 116.026; negative NAS, poor swim "		
LCHA125_27	Chauvel Reef	Leading	27	0.03203	2022-06-25	2	dell	1	AM	10:56:00	121.421	3.88911463	2022-06-29	3	asus	2	AM	12:22	320.101	10.25283503	2.636290263	198.68	6.3637204	good			
LCHA132_27	Chauvel Reef	Leading	27	0.02633	2022-06-14	2	asus	2	AM	NA	177.671	4.67807743	2022-06-26	2	asus	2	PM	15:58	196.08	5.1627864	1.103612857	18.409	0.48470897	poor	deceased		
LCHA135_27	Chauvel Reef	Leading	27	0.03524	2022-06-25	4	dell	1	AM	10:56:00	206.53	7.2781172	2022-07-01	4	dell	1	PM	14:33	264.956	9.33704944	1.282893526	58.426	2.05893224	good	updated; original max. (27/06/2022) was 236.409; NAS below <2		
LCHA136_27	Chauvel Reef	Leading	27	0.02922	2022-06-15	1	dell	1	AM	NA	208.52	6.0929544	2022-06-29	3	dell	1	PM	15:39	383.111	11.19450342	1.837286591	174.591	5.10154902	poor			
LCHA138_27	Chauvel Reef	Leading	27	0.02072	2022-06-16	3	dell	1	PM	NA	145.953	3.02414616	2022-06-27	2	dell	1	PM	14:56	358.1241445	7.420332275	2.453694988	212.1711445	4.396186115	good			
LCKM154_27	Cockermouth Island	Leading	27	0.02800	2022-06-15	2	dell	1	AM	NA	180.196	5.045488	2022-06-29	2	dell	1	AM	10:40	536.544	15.023232	2.97755777	356.348	9.977744	good			
LCKM158_27	Cockermouth Island	Leading	27	0.03457	2022-06-25	3	asus	2	PM	15:05:00	132.5336	4.581686552	2022-06-28	3	dell	1	PM	17:24	356.7619603	12.33326097	2.691860481	224.2283603	7.751574414	good  			
LCKM162_27	Cockermouth Island	Leading	27	0.03075	2022-06-13	3	dell	1	AM	NA	171.379	5.26990425	2022-06-28	2	asus	2	AM	11:24	293.8187784	9.034927436	1.714438633	122.4397784	3.765023186	good			
