site,subsite_id,series,lat,lon,REGION
Davies Reef,2630,DAVSL1,-18.806,147.6686,Low
Davies Reef,3272,DAVAWSL2,-18.8313,147.634,Low
Myrmidon Reef,2726,MYRSL1,-18.2572,147.3813,Low
Orpheus Island,14957,ORPHCH2,-18.6017,146.4881,Low
Rib Reef,10200,RIBSL1,-18.4719,146.8788,Low
John Brewer,2723,JBRSL1,-18.6188,147.0815,Low
Kelso Reef,2620,KELSL1,-18.4221,146.9846,Low
Dip Reef,2633,DIPSL1,-18.3999,147.4519,Low
"Green Island, Qld",2672,GRESL1,-16.7755,145.9803,Low
Moore Reef,2708,MORSL1,-16.8477,146.2358,Low
Arlington Reef,2738,ARLSL1,-16.6461,146.1107,Low
Frankland Islands,3177,FRNKSL2,-17.227,146.0904,Low
Pandora Reef,3247,PANSL1,-18.8168,146.4346,Low
Pandora Reef,10016,PANSL2,-18.8116,146.43,Low
Snapper Island North,3291,SNAPISSL1,-16.2919,145.4965,Low
Chicken Reef,2635,CHISL1,-18.6521,147.7217,Low
Flinders Reef,14617,FLINDERSSL2,-17.7123,148.4509,Low
Havannah Island,14975,HAVSL2,-18.8315,146.5374,Low
Thetford Reef,10635,THETSL1,-16.7988,146.1981,Low
Thetford Reef,13535,THETFL1,-16.7995,146.1951,Low
19-131 Reef,12196,19131SL1,-19.7662,149.3802,Low
19-131 Reef,15438,19131SL3,-19.7728,149.376,Low
19-138 Reef,12198,19138SL1,-19.8069,149.4305,Low
Rebe Reef,12208,REBESL1,-19.7919,150.1612,Low
St Crispin Reef,12421,STCRISPSL1,-16.0713,145.8453,Low
Opal Reef,12579,OPALSL1,-16.2034,145.9065,Low
Peart Reef,12657,PEARTSL1,-17.4665,146.4031,Low
Feather Reef,12655,FEATHSL1,-17.5179,146.3905,Low
Hedley Reef,13638,HEDLSL1,-17.2251,146.479,Low
McCulloch Reef,12777,MCCULLSL1,-17.2841,146.4796,Low
Farquharson Reef,13637,FARQSL1,-17.7912,146.5324,Low
Taylor Reef,13636,TAYLORSL1,-17.8107,146.5716,Low
Roxburgh Reef,12761,ROXSL1,-18.4283,147.0593,Low
Helix Reef,12656,HELIXSL1,-18.6201,147.2976,Low
Grub Reef,12758,GRUBSL1,-18.6216,147.4327,Low
Knife Reef,12775,KNIFESL1,-18.5711,147.5772,Low
Hastings Reef,13898,HASTSL1,-16.4995,146.0223,Low
Agincourt Reef Number 1,14835,AG1SL1,-16.0384,145.8688,Low
Pine Island,3080,PINESL1,-20.378,148.8884,High
Seaforth Island,3087,SEAFSL1,-20.4685,149.0389,High
Shute and Tancred Islands,3679,SHTANSL1,-20.3009,148.7983,High
20-104 Reef,12204,20104SL1,-20.0294,149.6951,High
Border Island,12210,BORDERSL1,-20.1819,149.0377,High
21-245 Reef,12398,21245SL1,-21.2965,152.4465,High
21-062 Reef,12422,21062SL1,-21.0266,150.8538,High
21-139 Reef,12435,21139SL1,-21.4547,151.4654,High
21-187 Reef,12436,21187SL1,-21.4054,151.6384,High
Tern Reef,12763,TERNSL1,-20.899,150.0289,High
Penrith Reef,12760,PENRITHSL1,-21.0032,149.8875,High
21-591 Reef,12757,21591SL1,-21.0266,150.3807,High
21-550 Reef,12586,21550SL1,-21.9612,152.3168,High
Gannet Cay Reef,13639,GANNETSL1,-21.9758,152.4797,High
